company_id,name,search_rating,review_count,overall_rating,복지/급여,워라밸,사내문화,승진 기회,경영진,기업 추천율,CEO 지지율,성장 가능성,검색기업명
56499,제이에이치티(주),2.7,3,2.7,2.0,2.7,2.7,2.0,1.7,0%,0%,0%,제이에이치티
296237,승빈종합건설(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,승빈종합건설
353989,(주)근도상사,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,근도상사
17686,티이엠씨씨엔에스(주),2.8,93,2.8,2.2,3.7,2.8,2.8,2.2,37%,46%,35%,오션브릿지
53882,캠럭스,2.0,1,2.0,2.0,2.0,2.0,2.0,2.0,0%,0%,0%,캠럭스
119351,위즈마인소프트(주),5.0,1,5.0,3.0,5.0,5.0,5.0,5.0,100%,100%,100%,위즈마인소프트
244921,프로제이엔(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,프로제이엔
386821,(주)씽크라이크펫,3.3,3,3.3,1.7,2.7,3.7,2.0,2.3,33%,33%,33%,씽크라이크펫
312679,한국전자입찰연구소(주),2.2,5,2.2,1.8,1.8,2.2,2.2,1.6,0%,33%,0%,한국전자입찰연구소
81512,더모스트,1.0,3,1.0,1.3,1.0,1.3,2.0,1.0,0%,0%,0%,더모스트
353514,페어필드바이메리어트서울호텔,1.6,56,1.6,1.6,1.9,2.1,2.0,1.4,2%,11%,4%,더파이낸셜어드바이저리그룹
94004,오름(주),2.2,69,2.2,2.5,2.3,2.2,2.6,1.8,23%,31%,13%,디자인오
321979,(주)위드앤아이티,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,위드앤아이티
214492,호서문화유산연구원(재),2.0,1,2.0,2.0,2.0,3.0,4.0,1.0,0%,0%,0%,호서문화유산연구원
459946,유로로지스(주),3.0,1,3.0,1.0,1.0,2.0,3.0,3.0,0%,0%,0%,유로로지스
93272,(사)한국수산회,2.1,30,2.1,2.0,2.6,1.9,1.9,1.7,20%,32%,13%,한국수산회
191811,덕신엔지니어링(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,덕신엔지니어링
345302,(주)에이치앤에이치그룹,2.3,7,2.3,1.9,3.6,2.7,2.4,2.3,29%,43%,29%,에이치앤에이치그룹
51775,태영건설(주),3.0,257,3.0,3.2,2.6,2.3,2.7,2.3,42%,31%,21%,영건설
352219,목포대학교 산학협력단,3.4,22,3.4,3.1,3.6,3.3,2.4,3.0,59%,59%,9%,목포대학교산학협력단
191251,비엘디(주),2.0,1,2.0,1.0,3.0,2.0,1.0,2.0,0%,0%,0%,비엘디
123055,(주)그린환경,2.6,32,2.6,2.1,2.6,2.8,2.5,2.1,25%,31%,9%,그린환경
342426,(주)세연인터내셔널,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0%,0%,0%,세연인터내셔널
402103,(주)아크인트레이딩,3.0,2,3.0,3.0,3.0,1.5,3.0,2.0,0%,100%,0%,아크인트레이딩
65117,(주)에이엘티,2.1,52,2.1,2.1,2.1,1.9,2.2,1.6,8%,23%,10%,에이엘티
134041,태성전력(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,태성전력
114760,삼지금속공업(주),1.9,12,1.9,2.1,2.7,1.8,2.4,1.6,8%,17%,0%,삼지금속공업
54970,(주)진명아이앤씨,2.5,28,2.5,2.5,2.9,2.4,2.5,2.2,21%,50%,4%,진명아이앤씨
